City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Ngorongoro,TZ,5/13/2020 19:43,-3.24,35.49,55.02,100,98,3.74
156,Zapolyarnyy,RU,5/13/2020 19:43,69.42,30.81,37.4,59,100,8.05
157,Solomenskoye,RU,5/13/2020 19:43,44.22,44.35,55.98,85,14,9.53
158,Teguise,ES,5/13/2020 19:43,29.06,-13.56,69.8,56,20,12.75
159,Gizo,SB,5/13/2020 19:43,-8.1,156.84,82.87,78,99,13.35
160,Brindisi,IT,5/13/2020 19:43,40.58,17.67,68,77,40,5.82
161,Westport,US,5/13/2020 19:42,41.14,-73.36,61,18,1,12.75
162,Port-Gentil,GA,5/13/2020 19:43,-0.72,8.78,78.8,100,20,2.24
163,Palmeirais,BR,5/13/2020 19:43,-5.98,-43.06,82.11,84,33,4.59
164,Barillas,GT,5/13/2020 19:43,15.8,-91.32,77.31,66,76,2.59
165,Timizart,DZ,5/13/2020 19:43,36.8,4.27,57.67,64,100,4.56
166,Bahile,PH,5/13/2020 19:43,10,118.79,79.83,84,44,2.19
167,Sabzevar,IR,5/13/2020 19:40,36.21,57.68,62.51,33,4,5.08
168,Vila,PT,5/13/2020 19:39,42.03,-8.16,57,82,95,2.8
169,Sao Joao Da Barra,BR,5/13/2020 19:43,-21.64,-41.05,80.6,61,4,16.11
170,Lipari,IT,5/13/2020 19:43,38.47,14.95,70,64,20,13.87
171,Mirabad,AF,5/13/2020 19:43,30.44,61.84,77.7,24,51,19.48
172,Fort Nelson,CA,5/13/2020 19:43,58.81,-122.7,39.2,94,90,12.75
173,Amahai,ID,5/13/2020 19:43,-3.33,128.92,78.93,83,84,3.58
174,Cottonwood Heights,US,5/13/2020 19:41,40.62,-111.81,61,62,40,8.05
175,Mount Isa,AU,5/13/2020 19:43,-20.73,139.5,62.6,25,0,14.99
176,Ribeira Grande,PT,5/13/2020 19:43,38.52,-28.7,60.8,63,40,16.11
177,Avarua,CK,5/13/2020 19:43,-21.21,-159.78,78.8,94,4,2.24
178,San Borja,BO,5/13/2020 19:43,-14.82,-66.85,86.59,70,53,4.97
179,Nemuro,JP,5/13/2020 19:43,43.32,145.57,43.92,84,100,10.69
180,Zheleznodorozhnyy,RU,5/13/2020 19:43,55.75,38,52,46,50,4.47
181,Coahuayana,MX,5/13/2020 19:39,18.73,-103.68,87.8,31,5,11.41
182,Bathsheba,BB,5/13/2020 19:43,13.22,-59.52,86,58,40,18.34
183,Honggang,CN,5/13/2020 19:43,46.47,124.87,56.82,49,84,13.38
184,Constitucion,CL,5/13/2020 19:39,-35.33,-72.42,62.6,49,0,15.1
