City_ID,City.1,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
132,Itoman,JP,84.22,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
138,Madang,PG,85.68,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
139,Matadi,CD,76.24,light rain,-5.8167,13.45,Hotel Vivi Palace
141,Feijo,BR,73.17,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
144,Udupi,IN,87.04,overcast clouds,13.35,74.75,Hotel Sri Krishna Residency
150,Hithadhoo,MV,81.97,overcast clouds,-0.6,73.0833,Scoop Guest House
157,Sarangani,PH,84.4,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
162,Grand Gaube,MU,75.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
164,Atambua,ID,86.99,scattered clouds,-9.1061,124.8925,Ros Muskanan
167,Conceicao Do Araguaia,BR,79.16,few clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
175,Cartagena,CO,82.02,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
176,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
177,Bintulu,MY,84.61,scattered clouds,3.1667,113.0333,900 Boutique INN
178,Ilhabela,BR,71.19,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
182,Caravelas,BR,71.19,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
183,Moussoro,TD,80.6,few clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
187,Ballina,AU,71.78,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
191,Sakakah,SA,72.97,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
192,Todos Santos,MX,77.31,clear sky,23.45,-110.2167,Hotel California Todos Santos
195,Finschhafen,PG,86.29,broken clouds,-6.6024,147.8681,Oasis Gagidu Ltd
196,Kaura Namoda,NG,74.73,clear sky,12.5898,6.5779,Moonlight Hotel
202,Ewo,CG,70.09,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
203,Kudahuvadhoo,MV,81.88,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
205,Kalmunai,LK,79.61,moderate rain,7.4167,81.8167,VS Villa
210,Kavieng,PG,83.5,light rain,-2.5744,150.7967,Nusa Island Retreat
213,Road Town,VG,82.49,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
214,Labrea,BR,73.6,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
216,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
219,Bambous Virieux,MU,75.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
220,Ternate,ID,85.89,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
223,Noumea,NC,81.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
225,Sitio Novo Do Tocantins,BR,80.53,clear sky,-5.5183,-47.4611,Imperial Hotel
